miRNA,KMG0071_R1
MIR4650-1,0.38
MIR4650-2,0
MIR4651,3.43
MIR4652,0.76
MIR4653,2.29
MIR4654,44.63
MIR4655,16.02
MIR4656,3.05
MIR4657,0.76
MIR4658,4.96
MIR4659A,11.06
MIR4659B,11.82
MIR466,3.43
MIR4660,5.72
MIR4661,4.2
MIR4662A,3.43
MIR4662B,1.14
MIR4663,0.38
MIR4664,2.29
MIR4665,9.92
MIR4666A,1.53
MIR4666B,2.67
MIR4667,1.53
MIR4668,0.38
MIR4669,2.67
MIR4670,3.05
MIR4671,3.05
MIR4672,0.38
MIR4673,8.01
MIR4674,5.34
MIR4675,1.91
MIR4676,3.05
MIR4677,0.38
MIR4678,0
MIR4679-1,0.38
MIR4679-2,0
MIR4680,1.53
MIR4681,2.67
MIR4682,1.91
MIR4683,1.53
MIR4684,1.53
MIR4685,3.81
MIR4686,0.38
MIR4687,3.43
MIR4688,1.14
MIR4689,4.2
MIR4690,1.91
MIR4691,2.29
MIR4692,0
MIR4693,1.91
MIR4694,1.53
MIR4695,2.67
MIR4696,0.38
MIR4697,2.29
MIR4698,1.14
MIR4699,2.67
MIR4700,3.43
MIR4701,5.34
MIR4703,0.38
MIR4704,1.14
MIR4705,0.76
MIR4706,4.2
MIR4707,6.1
MIR4708,0.38
MIR4709,5.72
MIR4710,7.25
MIR4711,0.38
MIR4712,1.14
MIR4713,1.53
MIR4714,1.91
MIR4715,0.76
MIR4716,6.1
MIR4717,1.53
MIR4718,1.91
MIR4719,0
MIR4720,0.76
MIR4721,3.05
MIR4722,2.29
MIR4723,0.76
MIR4724,0
MIR4725,0.76
MIR4726,2.29
MIR4727,3.05
MIR4728,6.87
MIR4729,3.05
MIR4730,2.67
MIR4731,1.91
MIR4732,26.32
MIR4733,0.76
MIR4734,3.81
MIR4735,2.29
MIR4736,20.21
MIR4737,2.67
MIR4738,2.67
MIR4739,5.72
MIR4740,4.96
MIR4741,3.43
MIR4742,3.05
MIR4743,0.76
MIR4744,0.38
MIR4745,3.05
MIR4746,1.53
MIR4747,1.14
MIR4748,9.54
MIR4749,0.76
MIR4750,3.81
MIR4751,1.53
MIR4752,0.76
MIR4753,1.14
MIR4754,3.05
MIR4755,0.76
MIR4756,0.76
MIR4757,4.58
MIR4758,3.81
MIR4759,0.38
MIR4760,0
MIR4761,1.14
MIR4762,0.76
MIR4763,0
MIR4764,3.05
MIR4765,6.1
MIR4766,1.91
MIR4767,3.81
MIR4768,0.38
MIR4769,2.67
MIR4770,7.63
MIR4771-1,0.38
MIR4771-2,0
MIR4772,1.14
MIR4773-1,1.91
MIR4773-2,0.38
MIR4774,0.76
MIR4775,2.67
MIR4776-1,1.91
MIR4776-2,3.05
MIR4777,0
MIR4778,3.05
MIR4779,1.91
MIR4780,0
MIR4781,3.81
MIR4782,1.91
MIR4783,1.91
MIR4784,2.67
MIR4785,36.62
MIR4786,0.38
MIR4787,2.67
MIR4789,0
MIR4790,0.38
MIR4791,1.14
MIR4793,1.14
MIR4794,2.67
MIR4795,0
MIR4796,1.91
MIR4797,1.14
MIR4798,0.76
MIR4799,3.05
